Starttime - 2009-11-30 20:40:39.640000
489 : 119805 : 24
490 : 120295 : 12
491 : 120786 : 16
492 : 121278 : 32
493 : 121771 : 16
494 : 122265 : 48
495 : 122760 : 96
496 : 123256 : 32
497 : 123753 : 16
498 : 124251 : 8
499 : 124750 : 16
500 : 125250 : 32
501 : 125751 : 8
502 : 126253 : 4
503 : 126756 : 36
504 : 127260 : 72
505 : 127765 : 16
506 : 128271 : 24
507 : 128778 : 24
508 : 129286 : 8
509 : 129795 : 16
510 : 130305 : 32
511 : 130816 : 36
512 : 131328 : 72
513 : 131841 : 16
514 : 132355 : 8
515 : 132870 : 32
516 : 133386 : 32
517 : 133903 : 16
518 : 134421 : 16
519 : 134940 : 48
520 : 135460 : 24
521 : 135981 : 12
522 : 136503 : 12
523 : 137026 : 8
524 : 137550 : 48
525 : 138075 : 24
526 : 138601 : 8
527 : 139128 : 64
528 : 139656 : 48
529 : 140185 : 12
530 : 140715 : 24
531 : 141246 : 48
532 : 141778 : 32
533 : 142311 : 16
534 : 142845 : 16
535 : 143380 : 24
536 : 143916 : 24
537 : 144453 : 8
538 : 144991 : 12
539 : 145530 : 96
540 : 146070 : 32
541 : 146611 : 4
542 : 147153 : 8
543 : 147696 : 40
544 : 148240 : 40
545 : 148785 : 32
546 : 149331 : 16
547 : 149878 : 8
548 : 150426 : 24
549 : 150975 : 36
550 : 151525 : 24
551 : 152076 : 48
552 : 152628 : 48
553 : 153181 : 8
554 : 153735 : 16
555 : 154290 : 32
556 : 154846 : 8
557 : 155403 : 12
558 : 155961 : 24
559 : 156520 : 64
560 : 157080 : 128
561 : 157641 : 16
562 : 158203 : 4
563 : 158766 : 16
564 : 159330 : 32
565 : 159895 : 8
566 : 160461 : 20
567 : 161028 : 60
568 : 161596 : 12
569 : 162165 : 16
570 : 162735 : 16
571 : 163306 : 16
572 : 163878 : 32
573 : 164451 : 16
574 : 165025 : 24
575 : 165600 : 108
576 : 166176 : 36
577 : 166753 : 6
578 : 167331 : 12
579 : 167910 : 32
580 : 168490 : 32
